,Unnamed: 0,id,scrape_id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews
1229,1229,13815495,20240925021012,23330390,1.0,0.99,1.0,1.0,19.4,-99.18337,1.0,1.4748595090209995,1.5696453569762017,1.9678361335646877,999.0,1.0,10,1.0,10.0,0,0,0,0.0
1230,1230,14296220,20240925021012,87139722,1.0,1.0,2.0,2.0,19.4,-99.2,2.0,1.0,1.0,2.0,550.0,1.0,7,1.0,7.0,30,90,365,25.0
1231,1231,14296624,20240925021012,87139722,1.0,1.0,2.0,2.0,19.4,-99.2,1.0,1.0,1.0,1.0,260.0,1.0,7,1.0,7.0,24,84,359,0.0
1232,1232,14296638,20240925021012,75525375,1.0,1.0,2.0,2.0,19.4,-99.15976,1.0,1.0,1.0,1.0,350.0,2.0,1125,3.0,1125.0,0,53,328,0.0
1233,1233,14299639,20240925021012,23005877,1.0,0.99,1.0,1.0,19.43452,-99.1899,2.0,1.4748595090209995,1.0,1.9678361335646877,999.0,1.6,34,1.8,34.0,0,0,0,13.0
1234,1234,14303935,20240925021012,75222161,1.0,0.99,1.0,1.0,19.4,-99.2,1.0,1.0,1.0,1.0,650.0,2.0,10,2.0,10.0,27,87,87,0.0
1235,1235,14316759,20240925021012,87544364,1.0,1.0,20.0,20.0,19.43261,-99.1519,4.0,1.0,2.0,2.0,626.0,2.0,60,2.0,1125.0,15,30,30,27.0
1236,1236,14317545,20240925021012,1222626,1.0,1.0,14.0,21.0,19.4201,-99.15326,1.0,1.5,1.0,1.0,258.0,3.0,120,3.0,1125.0,4,38,211,131.0
1237,1237,14320958,20240925021012,60203647,1.0,0.99,8.0,8.0,19.411640167236328,-99.17647552490234,2.0,1.0,1.0,1.0,866.0,1.0,30,1.0,1125.0,8,63,338,27.0
1238,1238,14340166,20240925021012,87816792,1.0,0.9,5.0,17.0,19.39772,-99.18005,3.0,1.0,1.0,1.0,294.0,1.0,25,1.6,25.0,13,57,57,27.0
1239,1239,13817050,20240925021012,13575527,1.0,0.99,1.0,2.0,19.40027,-99.13458,3.0,1.0,1.0,1.0,2319.0,1.6,250,1.8,250.0,30,90,180,0.0
1240,1240,13825176,20240925021012,81477418,1.0,0.96,2.0,2.0,19.3379,-99.13063,2.0,1.0,1.0,1.0,550.0,2.0,365,2.0,365.0,1,54,329,104.0
1241,1241,13828731,20240925021012,11558501,1.0,1.0,1.0,1.0,19.33912,-99.12936,5.0,1.4748595090209995,3.0,1.9678361335646877,999.0,1.6,1125,1.8,1125.0,30,90,180,1.0
1242,1242,13829504,20240925021012,1795374,1.0,0.9,3.0,7.0,19.42868,-99.1755,3.0,1.0,2.0,2.0,885.0,1.6,90,4.0,1125.0,0,19,224,27.0
1243,1243,13829934,20240925021012,42733340,1.0,1.0,5.0,5.0,19.44396,-99.20639,2.0,1.0,1.0,1.0,309.0,3.0,1125,3.0,1125.0,1,53,328,20.0
1244,1244,13841814,20240925021012,72318105,1.0,1.0,7.0,7.0,19.4387,-99.1479,2.0,1.4748595090209995,2.0,1.9678361335646877,999.0,1.6,1125,1.8,1125.0,0,0,0,29.0
1245,1245,14340398,20240925021012,87753763,1.0,0.95,1.0,2.0,19.34605,-99.16892,4.0,1.0,2.0,3.0,2065.0,3.0,1125,3.0,1125.0,1,1,1,45.0
